"ArticleTitle","Summary","Link","Timestamp","Category","Keyword","ArticleStory"
"Father of Muslim teen arrested for clock sues conservative media for defamation"," The lawsuit claims that Glenn Beck, Fox and others wrongly floated the idea that Ahmed Mohamed deliberately brought a  hoax bomb  to school as a PR stunt   The father of Ahmed Mohamed, the Muslim teenager arrested in Texas last year when he  brought a homemade clock to school , has launched a defamation lawsuit against several conservative media figures and organisations.  Mohamed Elhassan Mohamed filed the suit last week in Dallas County on behalf of his son, whose detention and questioning last September made international headlines amid accusations of Islamophobia. He was suspended from school for three days, though police decided not to charge him with making a fake bomb.   Continue reading... ","https://www.theguardian.com/us-news/2016/sep/27/ahmed-mohamed-clock-boy-defamation-lawsuit-glenn-beck","Tue, 27 Sep 2016 23:43:15 GMT","Texas",""," "
"Consensus: Clinton wins debate   but Trump is far from finished"," Unpredictable nature of 2016 race leaves much to be decided with two more debates in October, as Clinton camp continues to attack Trump s debate tactics  The most-watched presidential debate in history knocked Donald Trump sideways, but not out of the race for the White House, after he was tripped up by a well-drilled Hillary Clinton.    Riled by needling from Clinton  about his family, the flamboyant Republican was forced on the defensive for much of their 90-minute showdown at Hofstra University, and swiftly saw some signs of faltering support among voters.   Continue reading... ","https://www.theguardian.com/us-news/2016/sep/27/debate-polls-reaction-hillary-clinton-donald-trump","Tue, 27 Sep 2016 17:39:01 GMT","US elections 2016",""," "
"Portuguese government decides to keep 85 paintings by Joan Mir "," Pictures by Spanish artist, estimated to be worth  35m, put up for sale in 2014 but withdrawn again after public outcry  The Portuguese government said on Tuesday it had decided to keep 85 works by famed Spanish artist Joan Mir  in the country after an uproar over their proposed sale to foreign buyers.   The paintings, estimated to be worth around  35m ( 30.1m), came under state ownership in 2008 when the government nationalised the failed bank BNP which had built up the surrealist collection.   Continue reading... ","https://www.theguardian.com/artanddesign/2016/sep/27/portuguese-government-decides-to-keep-85-paintings-by-joan-miro","Tue, 27 Sep 2016 22:58:28 GMT","Joan Mir ",""," "
"Former Israeli president Shimon Peres 'fighting for his life'"," Key architect of Oslo peace accords and Nobel peace prize winner had a massive stroke two weeks ago   Shimon Peres , one of Israel s defining political figures, has been described by his doctors as  fighting for his life ,  two weeks after he suffered a massive stroke.   The condition of Peres, 93, who twice served as prime minister of Israel and later as the country s ninth president, was said to have worsened seriously in the course of a few hours on Tuesday as family members gathered at his bedside.   Continue reading... ","https://www.theguardian.com/world/2016/sep/27/former-israeli-president-shimon-peres-fighting-for-his-life","Tue, 27 Sep 2016 16:31:43 GMT","Shimon Peres",""," "
"Shimon Peres, Nobel winner and giant of Israeli politics, dies at 93"," Leading political figure served twice as prime minister, once as president and won Nobel peace prize    Follow global reaction to death of a defining political figure     Shimon Peres , one of Israel s defining political figures and a Nobel peace prize laureate, has died at the age of 93,  two weeks after having a stroke .  Peres had twice served as prime minister of Israel and later as the country s ninth president. He had been seriously ill on a respirator in an Israeli hospital near Tel Aviv and died after his condition deteriorated sharply.    Continue reading... ","https://www.theguardian.com/world/2016/sep/28/shimon-peres-former-israeli-leader-dies","Wed, 28 Sep 2016 08:24:10 GMT","Shimon Peres",""," "
"Donald Trump boasts after first debate against Clinton: 'I didn't want to embarrass her'"," Insisting every poll showed him as the winner, Republican nominee blasts  corrupt media  and recounts what he felt were his best lines  Donald Trump has told a crowd of 7,500 that he was holding back during the  first presidential debate with Hillary Clinton  because he did not want to embarrass her.  He insisted that every poll showed him winning the debates but cited only internet surveys to prove this; every scientific poll taken in the aftermath of the debate showed a majority of viewers believing the Democratic nominee had won.     Continue reading... ","https://www.theguardian.com/us-news/2016/sep/27/donald-trump-hillary-clinton-first-debate-winner","Wed, 28 Sep 2016 06:36:39 GMT","Donald Trump",""," "
"Amnesty calls off launch of Thai torture report after police warning"," Rights group was told staff could be arrested over visas if public launch of report accusing soldiers and police went ahead  Amnesty International has cancelled the public launch of a report on torture in Thailand after police in Bangkok warned the rights group that its representatives might be arrested and prosecuted for visa violations.  The  report  accuses Thai soldiers and police of torture, including of suspected insurgents, government opponents, alleged drug users and members of ethnic minorities.    Continue reading... ","https://www.theguardian.com/world/2016/sep/28/amnesty-thailand-torture-report-launch-cancelled-police-warning","Wed, 28 Sep 2016 07:37:03 GMT","Thailand",""," "
"Shimon Peres, Nobel winner and giant of Israeli politics, dies at 93"," Leading political figure served twice as prime minister, once as president and won Nobel peace prize    Follow global reaction to death of a defining political figure     Shimon Peres , one of Israel s defining political figures and a Nobel peace prize laureate, has died at the age of 93,  two weeks after having a stroke .  Peres had twice served as prime minister of Israel and later as the country s ninth president. He had been seriously ill on a respirator in an Israeli hospital near Tel Aviv and died after his condition deteriorated sharply.    Continue reading... ","https://www.theguardian.com/world/2016/sep/28/shimon-peres-former-israeli-leader-dies","Wed, 28 Sep 2016 08:24:10 GMT","Shimon Peres",""," "
"Donald Trump boasts after first debate against Clinton: 'I didn't want to embarrass her'"," Insisting every poll showed him as the winner, Republican nominee blasts  corrupt media  and recounts what he felt were his best lines  Donald Trump has told a crowd of 7,500 that he was holding back during the  first presidential debate with Hillary Clinton  because he did not want to embarrass her.  He insisted that every poll showed him winning the debates but cited only internet surveys to prove this; every scientific poll taken in the aftermath of the debate showed a majority of viewers believing the Democratic nominee had won.     Continue reading... ","https://www.theguardian.com/us-news/2016/sep/27/donald-trump-hillary-clinton-first-debate-winner","Wed, 28 Sep 2016 06:36:39 GMT","Donald Trump",""," "
"Amnesty calls off launch of Thai torture report after police warning"," Rights group was told staff could be arrested over visas if public launch of report accusing soldiers and police went ahead  Amnesty International has cancelled the public launch of a report on torture in Thailand after police in Bangkok warned the rights group that its representatives might be arrested and prosecuted for visa violations.  The  report  accuses Thai soldiers and police of torture, including of suspected insurgents, government opponents, alleged drug users and members of ethnic minorities.    Continue reading... ","https://www.theguardian.com/world/2016/sep/28/amnesty-thailand-torture-report-launch-cancelled-police-warning","Wed, 28 Sep 2016 07:37:03 GMT","Thailand",""," "
"MH17 investigators to pinpoint missile launch in rebel-held Ukraine"," Report expected to say Buk missile was fired from separatist-held area in Ukraine and its launcher smuggled back to Russia  An international criminal investigation into the shooting down of  flight MH17  is likely to conclude that the plane was downed by a Buk missile fired from separatist-controlled territory in eastern Ukraine, diplomats say.   The  Dutch-led Joint Investigation Team  (JIT) has been gathering evidence for a possible criminal trial and is due to present its interim findings on Wednesday. Dutch police and prosecutors have been working with judicial colleagues from Australia, Belgium, Malaysia and Ukraine.   Continue reading... ","https://www.theguardian.com/world/2016/sep/27/mh17-inquiry-missile-launch-buk-ukraine-russia","Tue, 27 Sep 2016 14:00:37 GMT","Malaysia Airlines flight MH17",""," "
"Police killing of unarmed black man in San Diego sparks protest"," Police say man pulled an object from his pocket, pointed it at officers and assumed a  shooting stance   Police in suburban San Diego have shot and killed an unarmed black man who they say pulled an object from his pocket, pointed it at officers and assumed a  shooting stance .    One officer tried and failed to subdue the unidentified man with a stun gun before a second officer fired several times, said the El Cajon police chief, Jeff Davis. Davis would not say what the object was, but acknowledged it was not a weapon.     Continue reading... ","https://www.theguardian.com/us-news/2016/sep/28/police-killing-black-man-el-cajon-san-diego-protest","Wed, 28 Sep 2016 08:30:02 GMT","San Diego",""," "
"World's first baby born from new procedure using DNA of three people"," Experts welcome news of successful mitochondrial transfer but caution against operating in countries beyond regulations  The world s first baby to be born from a new procedure that combines the DNA of three people appears to be healthy, according to doctors in the US who oversaw the treatment.  The baby was born on 6 April after his Jordanian parents travelled to Mexico where they were cared for by US fertility specialists.    Continue reading... ","https://www.theguardian.com/science/2016/sep/27/worlds-first-baby-born-using-dna-from-three-parents","Tue, 27 Sep 2016 16:12:05 GMT","Reproduction",""," "
"France urged to house children living alone in Calais camp"," Children s commissioners call on French government to rescue 1,000 asylum-seeking children as a matter of urgency   The children s commissioners for England and France have called on the French government to identify, register and house the 1,000 lone asylum-seeking children who are living in dire conditions in the Calais camp,  as a matter of urgency  before the site is demolished.  After President Fran ois Hollande announced that the refugee camp would be shut down and asylum seekers moved to official centres around the country, charities said they were concerned about the safety of the unaccompanied child refugees, who make up about 10% of the camp population.   Continue reading... ","https://www.theguardian.com/world/2016/sep/27/register-and-house-children-living-in-calais-camp-on-their-own-france-told","Tue, 27 Sep 2016 17:12:52 GMT","Calais",""," "
"Syrian troops launch ground offensive against Aleppo rebels"," Forces loyal to Bashar al-Assad advance on the old city, two other districts and a strategically sited former refugee camp  Syrian troops have launched a large-scale ground attack on rebel-held areas of Aleppo in a bid to make concrete military gains after nearly a week of punitive bombardment that has mostly hit civilians.  Forces loyal to President Bashar al-Assad opened multiple fronts in an apparent attempt to increase pressure on rebel forces experienced in close urban warfare.    Continue reading... ","https://www.theguardian.com/world/2016/sep/27/syrian-troops-launch-ground-offensive-against-aleppo-rebels","Tue, 27 Sep 2016 18:43:00 GMT","Syria",""," "
"Panama Papers: European parliament opens inquiry"," In first evidence session, 65-member panel hears from journalists involved in breaking the story of the Mossack Fonseca data leak  The role of UK tax havens in facilitating financial crime came under scrutiny as the European parliament opened its 10-month inquiry into the  Panama Papers scandal .  At the inquiry s  first evidence session  in Brussels, the 65-member panel heard from journalists at some of the media organisations that broke the story in April.    Continue reading... ","https://www.theguardian.com/world/2016/sep/27/panama-papers-inquiry-opens-at-european-parliament","Tue, 27 Sep 2016 17:51:03 GMT","Tax havens",""," "
"RBS pays  846m fine to US regulator for role in 2008 banking crisis"," Settlement is first of three penalties expected to be handed down to Royal Bank of Scotland by US authorities  Royal Bank of Scotland is to pay $1.1bn ( 846m) to a US regulator to resolve allegations it missold mortgage bonds to credit unions in the run up to the 2008 banking crisis.  The settlement with the National Credit Union Administration (NCUA) board is one of three major issues facing the bailed-out bank relating to the way it sold so-called residential-mortgage-backed securities (RMBS) before its  45bn taxpayer bailout.   Continue reading... ","https://www.theguardian.com/business/2016/sep/28/rbs-pays-846m-fine-us-regulator-role-2008-banking-crisis","Tue, 27 Sep 2016 23:46:25 GMT","Royal Bank of Scotland",""," "
"SpaceX founder Elon Musk plans to get humans to Mars in six years"," SpaceX founder tells meeting of astronautical experts that his only purpose is to  make life interplanetary , revealing plans for reusable ship to Mars  SpaceX founder Elon Musk has outlined his highly ambitious vision for manned missions to Mars, which he said could begin as soon as 2022   three years sooner than his previous estimates.   However, the question of how such extravagantly expensive missions would be funded remains largely in the dark.   Continue reading... ","https://www.theguardian.com/technology/2016/sep/27/elon-musk-spacex-mars-colony","Wed, 28 Sep 2016 06:42:09 GMT","Elon Musk",""," "
"Father of Muslim teen arrested for clock sues conservative media for defamation"," The lawsuit claims that Glenn Beck, Fox and others wrongly floated the idea that Ahmed Mohamed deliberately brought a  hoax bomb  to school as a PR stunt   The father of Ahmed Mohamed, the Muslim teenager arrested in Texas last year when he  brought a homemade clock to school , has launched a defamation lawsuit against several conservative media figures and organisations.  Mohamed Elhassan Mohamed filed the suit last week in Dallas County on behalf of his son, whose detention and questioning last September made international headlines amid accusations of Islamophobia. He was suspended from school for three days, though police decided not to charge him with making a fake bomb.   Continue reading... ","https://www.theguardian.com/us-news/2016/sep/27/ahmed-mohamed-clock-boy-defamation-lawsuit-glenn-beck","Tue, 27 Sep 2016 23:43:15 GMT","Texas",""," "
"Consensus: Clinton wins debate   but Trump is far from finished"," Unpredictable nature of 2016 race leaves much to be decided with two more debates in October, as Clinton camp continues to attack Trump s debate tactics  The most-watched presidential debate in history knocked Donald Trump sideways, but not out of the race for the White House, after he was tripped up by a well-drilled Hillary Clinton.    Riled by needling from Clinton  about his family, the flamboyant Republican was forced on the defensive for much of their 90-minute showdown at Hofstra University, and swiftly saw some signs of faltering support among voters.   Continue reading... ","https://www.theguardian.com/us-news/2016/sep/27/debate-polls-reaction-hillary-clinton-donald-trump","Tue, 27 Sep 2016 17:39:01 GMT","US elections 2016",""," "
"Portuguese government decides to keep 85 paintings by Joan Mir "," Pictures by Spanish artist, estimated to be worth  35m, put up for sale in 2014 but withdrawn again after public outcry  The Portuguese government said on Tuesday it had decided to keep 85 works by famed Spanish artist Joan Mir  in the country after an uproar over their proposed sale to foreign buyers.   The paintings, estimated to be worth around  35m ( 30.1m), came under state ownership in 2008 when the government nationalised the failed bank BNP which had built up the surrealist collection.   Continue reading... ","https://www.theguardian.com/artanddesign/2016/sep/27/portuguese-government-decides-to-keep-85-paintings-by-joan-miro","Tue, 27 Sep 2016 22:58:28 GMT","Joan Mir ",""," "
"Former Israeli president Shimon Peres 'fighting for his life'"," Key architect of Oslo peace accords and Nobel peace prize winner had a massive stroke two weeks ago   Shimon Peres , one of Israel s defining political figures, has been described by his doctors as  fighting for his life ,  two weeks after he suffered a massive stroke.   The condition of Peres, 93, who twice served as prime minister of Israel and later as the country s ninth president, was said to have worsened seriously in the course of a few hours on Tuesday as family members gathered at his bedside.   Continue reading... ","https://www.theguardian.com/world/2016/sep/27/former-israeli-president-shimon-peres-fighting-for-his-life","Tue, 27 Sep 2016 16:31:43 GMT","Shimon Peres",""," "
"Modi's 'Make in India' not enough to pip China, says top energy body","NEW DELHI: India is unlikely to replace China as the driver of global industrialization in the near future and the level of industrial investment in the country is lower than what is required to meet the ambitious  Make in India  initiative, according to the International Energy Agency. This comes despite the Modi government s major focus on economic reforms and efforts at boosting manufacturing activity.  In contrast with China, India s economy is continuing to grow strongly, a trend that is expected to persist through to 2020: Gross Domestic Product is projected to grow by between 7.5 per cent and 7.7 per cent per year up to 2020, according to IEA. The Modi government s Make in India campaign, launched in 2014, aims to increase the share of manufacturing in GDP from 17 per cent in 2013 to 25 per cent by 2020.   However, industrial investment currently falls short of what is required to achieve this target, suggesting that India will not replace China as the motor of global industrialisation in the near future,  the Paris-based agency said in its just-released World Energy Investment (WEI) 2016 report. India's industrial output fell 2.4 per cent in July after a spurt in May and June, mostly due to a decline in manufacturing output. The slowdown in industrial activity does not bode well for Asia's third largest economy, especially after overall GDP growth faltered to a 15-month low between April and June.  The 177-page IEA report, reviewed by ETEnergyWorld, also states that Indian coal production continues to be supported by strong investment, unlike the rest of the world where coal demand has declined largely because of China and the US.  Rapid growth in electricity demand, as well as energy security and cost considerations, are continuing to drive large investments in coal-fired capacity in India and the region of the Association of Southeast Asian Nations (ASEAN),  the report says.  Globally, coal investment jumped from around $30 billion in 2000 to $90 billion in 2012. However, 2015 witnessed a reduction in global coal investment due to slowing coal consumption in China and the United States   the two biggest markets   coupled with ample supply capacity and a deteriorating outlook for demand due to weaker economic prospects in China and tougher environmental policies.  The main exception was India, where government programmes are expected to push coal demand higher,  the report, published earlier this month, said.  India s External Affairs Minister Sushma Swaraj had on Monday said in her speech at the United Nations General Assembly (UNGA) India will play a leading role in combating climate change. According to the report, long-term contracts are helping to mobilise investment in renewables in emerging markets like India, but difficulties in upgrading the grid in order to integrate them into the system persist.  The report notes the Indian government s  round-the-clock energy for all  and  Make in India  policies are helping to push up coal demand, with the majority of new coal supplies coming from domestic production. The government is targeting 1.5 billion tonnes of output by 2020. Investment by coal producers, especially state-owned Coal India, which accounts for 80 per cent of the country s production, is rising accordingly. Coal India increased capital expenditure in coal mining by around 20 per cent to over $800 million in 2015 and plans to spend even more in 2016, it said.  The Modi government is working on a target to increase the country's renewable energy capacity over 5 times from 32,000 Mw in 2014 to 175,000 Mw by 2022 -- the largest renewable energy expansion programme in the world. As part of its Intended Nationally Determined Contributions (INDCs) on climate change by 2030, the government has committed to reduce emission intensity of GDP by 33-35 per cent over 2005 levels and achieve 40 per cent installed power capacity from non-fossil fuel based energy sources. Renewables currently account for 15 per cent of the country's total power capacity of 3 lakh Mw.  IEA has also pointed at less healthy financial indicators for power companies in India stating that stagnant cash flows and falling capital expenditures reflect the increased risk of not being able to recover investments.  Retail electricity tariffs are not always high enough to fully cover costs and some state Transmission and Distribution (T&amp;D) companies continue to face severe financial problems, undermining the reliability of the network and the ability of generators to sell their output,  the report states.  Significantly, the study notes how renewable investment in India increased by over 20 per cent to just under $10 billion in 2015 -- with hydro power accounting for one-quarter of the total   but uncertainties remain over the deliverability of some low solar PV bids, the regulatory framework and how new projects will be integrated in the electricity system given the financial health of the state distribution companies and needed grid investment.","http://economictimes.indiatimes.com/news/economy/policy/india-will-not-replace-china-as-the-motor-of-industrialization-in-near-future-international-energy-agency/articleshow/54561018.cms","Wed, 28 Sep 2016 08:34:11 GMT","NA",""," "
"Waitlisted? Don't worry, railways plans to get you a confirmed train ride soon","BENGALURU: Railway authorities have plans to introduce shadow trains in high-demand sectors such as Bengaluru-Chennai, Bengaluru-Ernakulam, Bengaluru-Howrah and Bengaluru-Belgaum.  The idea, however, is still in discussion stage and will take wings only after the Railways is able to overcome the bottlenecks.  Shadow trains are those that follow the main trains after a gap of 15 to 30 minutes. For example, Kanyakumari Express or Shatabdi Express are always full, so railways can introduce trains that closely follow these trains. By doing this, the Railways -besides dealing with rising demand -can also earn some revenue.  ""We will identify the sectors that are regularly full. But we can implement this idea only after the availability of the path and the coaches improve,"" said a railway official. ""We will need double lines, less congestion and better infrastructure,"" he added.    The Railways does not want to lose passengers, especially those booked on the AC coaches. Though small in number, they make up a substantial portion of passenger revenues, and the Railways has been exploring ways to retain this revenue.  It is precisely for this reason that the Railways introduced the alternative train accommodation scheme under the name Vikalp. It provides for alternative accommodation for passengers on tickets booked through the IRCTC site. If a traveller has booked a ticket on the Rajdhani and is waitlisted, the Railways will try to accommodate the passenger on another train running to the same destination on the same day .  First introduced on Delhi-Lucknow and Delhi-Jammu, the facility is now available on Bengaluru-Delhi route too. Vikalp is currently run as a pilot project, and authorities said they will soon be able to extend it to other high demand sectors from Bengaluru. Vikalp, the official explained, was introduced to provide confirmed accommodation to waitlisted passengers by using up every available seat as it is illegal for them to board reserved coaches. Under the scheme, the authorities are augmenting the sector capacity either by attaching additional coaches to clear waitlisted passengers or by running extra trains.  ""The facility is available only on e-ticketing option. This is not yet open on all the sectors, which we will do as we go along. This requires a lot of tweaking of the software in the reservation system,"" the official said.","http://economictimes.indiatimes.com/industry/transportation/railways/waitlisted-like-irctcs-vikalp-you-can-hope-to-board-shadow-outbound-trains/articleshow/54558661.cms","Wed, 28 Sep 2016 08:26:45 GMT","NA",""," "
"Pakistan knocks on World Bank's door to stop India from exploiting water treaty","ISLAMABAD: Pakistan today approached the World Bank amid reports that India could revoke the 56-year- old Indus Water Treaty, with senior Pakistani officials taking up the matter with the international lender which had mediated the water-sharing deal.  A delegation of the Government of Pakistan led by the Attorney General for Pakistan, Ashtar Ausaf Ali, met with senior officials of the World Bank at the World Bank Headquarters in Washington DC, to discuss matters relating to Pakistan's recent Request for Arbitration given to India pursuant to Article IX of the Indus Waters Treaty, 1960, Geo News reported.  The report also said Pakistan approached the International Court of Justice, but did not provide any details.  On 19 August, Pakistan had formally requested India for settlement of outstanding disputes pertaining to India's construction of Kishenganga and Ratle hydroelectric plants on rivers Neelum and Chenab respectively, by referring the matters to the Court of Arbitration as provided in Article IX of the Treaty.  Under the treaty, the World Bank has an important role in establishment of the Court of Arbitration by facilitating the process of appointment of three judges, called Umpires, to the Court, while each country appoints two arbitrators.  The Pakistani officials met with senior officials of the World Bank to insist on early appointment of the judges and empanelment the court, it said.  The Pakistani delegation consisted of Attorney General for Pakistan Ashtar Ausaf Ali; Secretary, Ministry of Water & Power, Muhammad Younus Dagha; Pakistan Commissioner for Indus Waters, Mirza Asif Baig and others, it said.  Pakistan's Ambassador to the US Jalil Abbas Jilani and World Bank's Executive Director for Pakistan Nasir Khosa were also present.  In the meeting with the Pakistani delegation, the World Bank committed itself to timely fulfilling its obligations under the treaty while remaining neutral, the report said.  Under the treaty, which was signed by Prime Minister Jawaharlal Nehru and Pakistan President Ayub Khan in September 1960, waters of six rivers - Beas, Ravi, Sutlej, Indus, Chenab and Jhelum - were to be shared between the two countries.  The treaty provides specific design criteria for any hydro-electric power plants to be built by India. Pakistan has held the position the Kishenganga and Ratle hydroelectric plants violate the design parameters of the treaty.  Earlier, Prime Minister's Advisor on Foreign Affairs and Security, Sartaj Aziz said an attempt by India to block Pakistan's water could be seen as ""an act of war.""  Yesterday, Prime Minister Narendra Modi met with officials to review provisions of the Indus Water Treaty with Pakistan.  In that meeting it was decided that India will ""exploit to the maximum"" the water of Pakistan-controlled rivers, including Jhelum, as per the water-sharing pact.  The meeting came as India weighed its options to hit back at Pakistan in the aftermath of the Uri terror attack that left 18 soldiers dead, triggering demands that the government scrap the water-sharing deal to mount pressure on the country.","http://economictimes.indiatimes.com/news/politics-and-nation/pakistan-approaches-world-bank-over-indus-treaty/articleshow/54559907.cms","Wed, 28 Sep 2016 09:11:18 GMT","NA",""," "
